,x,y,z_receiver
OA-01,1.5,7.8,1.6
OA-02,1.5,6.8,1.6
OA-03,2.5,6.8,1.6
OA-04,3.5,6.8,1.6
OA-05,4.5,6.8,1.6
OA-06,6,5.3,1.6
OA-07,6,4.3,1.6
OA-08,6,3.3,1.6
OA-09,6,2.3,1.6
OA-10,7,3.8,1.6
OA-11,3.5,0.8,1.6
OA-12,2.5,0.8,1.6
OA-13,1.5,0.8,1.6
OA-14,2,0.3,1.6
OA-15,7,6.8,4.29
OA-16,9.5,6.3,4.29
OA-17,8,4.8,4.29
OA-18,8,2.8,4.29
OA-19,9.5,1.3,4.29
OA-20,7.5,1.3,4.29
PA-01,1,5.8,1.6
PA-02,2,5.8,1.6
PA-03,3,5.8,1.6
PA-04,4,5.8,1.6
PA-05,5,5.8,1.6
PA-06,5,4.8,1.6
PA-07,4,4.8,1.6
PA-08,3,4.8,1.6
PA-09,2,4.8,1.6
PA-10,1,4.8,1.6
PA-11,1,3.8,1.6
PA-12,2,3.8,1.6
PA-13,3,3.8,1.6
PA-14,4,3.8,1.6
PA-15,5,3.8,1.6
PA-16,5,2.8,1.6
PA-17,4,2.8,1.6
PA-18,3,2.8,1.6
PA-19,2,2.8,1.6
PA-20,1,2.8,1.6
PA-21,1,1.8,1.6
PA-22,2,1.8,1.6
PA-23,3,1.8,1.6
PA-24,4,1.8,1.6
PA-25,5,1.8,1.6